repository,file,github_url,review_origin,llm_decision,human_decision,codex_decision,codex_reason,note
apache/incubator-kie-drools,apache--incubator-kie-drools/efesto__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/efesto/README.md,existing_166,pass,pass,pass,Evidence (L41): Each plugin should provide a `compilation` and a `runtime` component. 理由：引用箇所は，ソースコードまたはテストコードが維持すべき具体的な言語，ランタイム，プラットフォーム，API，またはバージョンの互換性を明示しているため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-dmn__Developer_Guide.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-dmn/Developer_Guide.md,existing_166,not_found,not_found,not_found,理由：本文はソフトウェアの利用方法，利用者が作成する拡張コード，利用者向け機能，または実行時設定を説明しており，リポジトリ自身のソースコードまたはテストコードに対する規則ではないため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-dmn__kie-dmn-ruleset2dmn-parent__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-dmn/kie-dmn-ruleset2dmn-parent/README.md,codex_added_561,not_found,not_found,not_found,理由：CLIの利用方法と実行例のみで，ソースコードやテストコードの規則がない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-dmn__kie-dmn-tck__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-dmn/kie-dmn-tck/README.md,codex_added_561,not_found,not_found,not_found,理由：TCKの実行方法とPR調査手順を扱っており，保守対象コードの永続的な規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-dmn__kie-dmn-xls2dmn-cli__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-dmn/kie-dmn-xls2dmn-cli/README.md,codex_added_561,not_found,not_found,not_found,理由：規則は利用者が入力するスプレッドシートの内容を対象としており，ソースコードやテストコードの規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-dmn__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-dmn/README.md,codex_added_561,not_found,not_found,not_found,理由：現在の実装動作や拡張機能の説明であり，コード構造に対する明示的な永続規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-drl__Readme.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-drl/Readme.md,existing_166,not_found,not_found,pass,"Evidence (L34-L36): At Runtime, the `FRI` should univocal define 1. the kind of runtime 2. (eventually) the session id 理由：引用箇所は，ソースコードまたはテストコードが維持すべき具体的な言語，ランタイム，プラットフォーム，API，またはバージョンの互換性を明示しているため．",実行時であって実装ではない
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-pmml-trusty__DesignOverview.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-pmml-trusty/DesignOverview.md,existing_166,not_found,not_found,not_found,理由：本文は一度限りの修正，移行，チュートリアル，または設計提案を示しており，コード作成・変更のたびに適用される継続的な規則ではないため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-pmml-trusty__DeveloperGuide.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-pmml-trusty/DeveloperGuide.md,existing_166,pass,pass,pass,"Evidence (L77-L78): _kie-pmml-compiler/kie-pmml-compiler-commons_ module contains a lot of already written/tested functionalities, especially for code-generation. When a new code-generation-related method is needed, please add it inside the above module, covering it with unit test. 理由：引用箇所は，ソースコードまたはテストコードの具体的なファイル／ディレクトリ配置，登録先，または構造を明示しているため．",
apache/incubator-kie-drools,apache--incubator-kie-drools/kie-pmml-trusty__kie-pmml-compiler__Readme.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/kie-pmml-trusty/kie-pmml-compiler/Readme.md,existing_166,pass,pass,pass,Evidence (L29): for every PMML **model** there should be a generated class extending _KiePMMLModel_ 理由：引用箇所は，ソースコードまたはテストコードに使用する具体的な名称，コード識別子，接頭辞，接尾辞，または命名形式を明示しているため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/README.md,codex_added_561,not_found,not_found,not_found,理由：テスト実行と文書作成の案内のみで，保守対象コードへの具体的な永続規則がない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/script__ci__dep-graph-extractor__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/script/ci/dep-graph-extractor/README.md,codex_added_561,not_found,not_found,not_found,理由：拡張機能の現在の動作と既存テストの配置を説明するのみで，明示的なコード規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/script__ci__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/script/ci/README.md,codex_added_561,not_found,not_found,not_found,理由：テスト実行，ゴールデン再生成，差分確認，コミットの手順を指示しているだけで，保守対象のソースコードまたはテストコードが継続的に満たす具体的な条件を定めていないためです．,
apache/rocketmq,apache--rocketmq/CONTRIBUTING.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/CONTRIBUTING.md,existing_166,not_found,not_found,pass,Evidence (L46): Testability - Above 80% unit test coverage for the main process 理由：引用箇所は，ソースコードまたはテストコードが満たすべき具体的な固定値，閾値，書式，またはヘッダーを明示しているため．,
apache/rocketmq,apache--rocketmq/docs__cn__design.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/cn/design.md,existing_166,not_found,not_found,not_found,理由：本文は一度限りの修正，移行，チュートリアル，または設計提案を示しており，コード作成・変更のたびに適用される継続的な規則ではないため．,
apache/rocketmq,apache--rocketmq/docs__cn__dledger__deploy_guide.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/cn/dledger/deploy_guide.md,codex_added_561,not_found,not_found,not_found,理由：導入手順と実行時設定を対象としており，保守対象のソースコードまたはテストコードに対する永続的な規則ではない．,
apache/rocketmq,apache--rocketmq/docs__cn__README.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/cn/README.md,codex_added_561,not_found,not_found,not_found,理由：文書への索引と各文書の説明のみで，コードに対する明示的な規則がない．,
apache/rocketmq,apache--rocketmq/docs__en__architecture.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/architecture.md,codex_added_561,not_found,not_found,not_found,理由：アーキテクチャと実行時動作の現状を説明しているだけで，コードに対する明示的な規則がない．,
apache/rocketmq,apache--rocketmq/docs__en__controller__design.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/controller/design.md,existing_166,not_found,not_found,not_found,理由：本文は一度限りの修正，移行，チュートリアル，または設計提案を示しており，コード作成・変更のたびに適用される継続的な規則ではないため．,
apache/rocketmq,apache--rocketmq/docs__en__design.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/design.md,codex_added_561,not_found,not_found,not_found,理由：トランザクションメッセージの設計と実行時動作の説明であり，保守対象コードに対する永続的な規則ではない．,
apache/rocketmq,apache--rocketmq/docs__en__Design_LoadBalancing.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/Design_LoadBalancing.md,codex_added_561,not_found,not_found,not_found,理由：負荷分散の現行実装と実行時動作を説明しているだけで，コードに対する明示的な規則がない．,
apache/rocketmq,apache--rocketmq/docs__en__Design_Remoting.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/Design_Remoting.md,existing_166,not_found,not_found,not_found,理由：本文は現在，過去，または計画中の実装，構成，配置，依存関係，または動作を説明しているだけで，継続的な要求，禁止，推奨，または許可を明示していないため．,
apache/rocketmq,apache--rocketmq/docs__en__Design_Store.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/Design_Store.md,codex_added_561,not_found,not_found,not_found,理由：ストレージの現行構造と実行時挙動の説明であり，明示的なコード規則ではない．,
apache/rocketmq,apache--rocketmq/docs__en__Design_Transaction.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/Design_Transaction.md,codex_added_561,not_found,not_found,not_found,理由：トランザクション処理の現行設計と実行時挙動を説明しており，永続的なコード規則を定めていない．,
apache/rocketmq,apache--rocketmq/docs__en__msg_trace__user_guide.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/msg_trace/user_guide.md,codex_added_561,not_found,not_found,not_found,理由：利用者向けの配置，実行時設定，SDK使用例を扱っており，保守対象コードへの規則ではない．,
apache/rocketmq,apache--rocketmq/docs__en__proxy__deploy_guide.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/proxy/deploy_guide.md,codex_added_561,not_found,not_found,not_found,理由：Proxyの導入と実行時設定の手順であり，ソースコードまたはテストコードの構造を規定していない．,
apache/rocketmq,apache--rocketmq/docs__en__README.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/docs/en/README.md,codex_added_561,not_found,not_found,not_found,理由：開発者ガイド内の文書索引にすぎず，コードに対する明示的な規則がない．,
apache/rocketmq,apache--rocketmq/proxy__README.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/proxy/README.md,codex_added_561,not_found,not_found,not_found,理由：Proxyの機能，アーキテクチャ，計画を説明しているだけで，永続的なコード規則を定めていない．,
apache/rocketmq,apache--rocketmq/README.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/README.md,codex_added_561,not_found,not_found,not_found,理由：機能紹介，インストール，実行方法などの利用者向け情報であり，保守対象コードへの永続的な規則ではない．,
apache/rocketmq,apache--rocketmq/tieredstore__README.md,https://github.com/apache/rocketmq/blob/51f9fcc49308f6ab6f779f97fdea075463056aeb/tieredstore/README.md,codex_added_561,pass,pass,pass,"Evidence (L62-L64): People who want to contribute can follow it to implement their own providers, such as S3FileSegment, OSSFileSegment, and MinIOFileSegment. Here are some guidelines:  1. Extend [FileSegment](https://github.com/apache/rocketmq/blob/develop/tieredstore/src/main/java/org/apache/rocketmq/tieredstore/provider/FileSegment.java) and implement the methods of [FileSegmentProvider](https://github.com/apache/rocketmq/blob/develop/tieredstore/src/main/java/org/apache/rocketmq/tieredstore/provider/FileSegmentProvider.java) interface. 理由：プロバイダーを追加する貢献全般に対し，`FileSegment` の継承と `FileSegmentProvider` のメソッド実装を明示的に求めている．",
apache/shardingsphere,apache--shardingsphere/.codex__skills__audit-shardingsphere-design__references__design-smells.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/.codex/skills/audit-shardingsphere-design/references/design-smells.md,existing_166,not_found,not_found,not_found,理由：本文はエージェントまたはスキルの作業手順であり，リポジトリのソースコードまたはテストコードに適用される規則ではないため．,
apache/shardingsphere,apache--shardingsphere/.codex__skills__audit-shardingsphere-design__references__spi-plugin-design.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/.codex/skills/audit-shardingsphere-design/references/spi-plugin-design.md,existing_166,not_found,not_found,not_found,理由：本文はエージェントまたはスキルの作業手順であり，リポジトリのソースコードまたはテストコードに適用される規則ではないため．,
apache/shardingsphere,apache--shardingsphere/.codex__skills__audit-shardingsphere-design__references__test-design.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/.codex/skills/audit-shardingsphere-design/references/test-design.md,existing_166,not_found,not_found,not_found,理由：本文はエージェントまたはスキルの作業手順であり，リポジトリのソースコードまたはテストコードに適用される規則ではないため．,
apache/shardingsphere,apache--shardingsphere/AGENTS.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/AGENTS.md,existing_166,pass,pass,pass,Evidence (L416): Every unit-test class must be named `<ProductionClassName>Test` 理由：引用箇所は，ソースコードまたはテストコードに使用する具体的な名称，コード識別子，接頭辞，接尾辞，または命名形式を明示しているため．,
apache/shardingsphere,apache--shardingsphere/CLAUDE.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/CLAUDE.md,existing_166,not_found,not_found,pass,Evidence (L535): - **Test Coverage**: 100% branch coverage 理由：引用箇所は，ソースコードまたはテストコードが満たすべき具体的な固定値，閾値，書式，またはヘッダーを明示しているため．,
apache/shardingsphere,apache--shardingsphere/CONTRIBUTING.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/CONTRIBUTING.md,codex_added_561,not_found,not_found,not_found,理由：課題報告とプルリクエストの作業手順であり，保守対象コードに対する具体的かつ永続的な規則はありません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_04_13_A_Practical_Guide_to_Apache_ShardingSphere_s_HINT.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_04_13_A_Practical_Guide_to_Apache_ShardingSphere%27s_HINT.en.md,codex_added_561,not_found,not_found,not_found,理由：利用者向けのAPI使用方法と実装解説であり，保守対象コードに対する永続的な規則ではありません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_04_26_How_to_Use_ShardingSphere-Proxy_in_Real_Production_Scenarios_Your_Quick_Start_Guide.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_04_26_How_to_Use_ShardingSphere-Proxy_in_Real_Production_Scenarios_Your_Quick_Start_Guide.en.md,codex_added_561,not_found,not_found,not_found,理由：インストール，実行，利用者設定のクイックスタートであり，ソースコードやテストコードの構造規則はありません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_05_19_Apache_ShardingSphere_Enterprise_User_Case_Zhongshang_Huimin_s_Transaction_Middle_Platform_Architecture.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_05_19_Apache_ShardingSphere_Enterprise_User_Case_Zhongshang_Huimin%E2%80%99s_Transaction_Middle_Platform_Architecture.en.md,codex_added_561,not_found,not_found,not_found,理由：過去の設計と移行事例，実行時の運用上の助言であり，具体的な保守対象コードに永続的に適用する規則はありません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_05_24_Your_Guide_to_DistSQL_Cluster_Governance_Capability_Apache_ShardingSphere_Feature_Update.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_05_24_Your_Guide_to_DistSQL_Cluster_Governance_Capability_Apache_ShardingSphere_Feature_Update.en.md,codex_added_561,not_found,not_found,not_found,理由：DistSQLと実行時設定の利用方法および機能説明であり，保守対象のソースコードやテストコードを規定していません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_06_08_How_does_Apache_ShardingSphere_standardize_and_format_code_We_use_Spotless.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_06_08_How_does_Apache_ShardingSphere_standardize_and_format_code_We_use_Spotless.en.md,existing_166,not_found,not_found,pass,Evidence (L64): Note: remember to include a space at the end of the `licenseHeader`. Otherwise there will be no space between the `licenseHeader` and the package. 理由：引用箇所は，ソースコードまたはテストコードが満たすべき具体的な固定値，閾値，書式，またはヘッダーを明示しているため．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_07_08_ShardingSphere-Proxy_Front-End_Protocol_Troubleshooting_Guide_and_Examples.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_07_08_ShardingSphere-Proxy_Front-End_Protocol_Troubleshooting_Guide_and_Examples.en.md,existing_166,not_found,not_found,not_found,理由：本文は一度限りの修正，移行，チュートリアル，または設計提案を示しており，コード作成・変更のたびに適用される継続的な規則ではないため．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_08_02_Book_Release__A_Definitive_Guide_to_Apache_ShardingSphere__is_Published_Internationally.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_08_02_Book_Release_%E2%80%9CA_Definitive_Guide_to_Apache_ShardingSphere%E2%80%9D_is_Published_Internationally.en.md,codex_added_561,not_found,not_found,not_found,理由：書籍の紹介と利用者向け案内であり，保守対象のソースコードやテストコードに対する永続的な規則ではない．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2022_11_15_Alibaba_Cloud_s_OpenSergo___ShardingSphere_release_database_governance_standard_for_microservices_-_combining_Database_Plus_and_Database_Mesh_concepts.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2022_11_15_Alibaba_Cloud%E2%80%99s_OpenSergo_%26_ShardingSphere_release_database_governance_standard_for_microservices_-_combining_Database_Plus_and_Database_Mesh_concepts.en.md,codex_added_561,not_found,not_found,not_found,理由：実行時のデータベース統治と利用者向け設定例を説明しており，保守対象コードの永続的な規則ではない．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2023_02_15_A_Distributed_Database_Load_Balancing_Architecture_Based_on_ShardingSphere_Demo___User_Case.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2023_02_15_A_Distributed_Database_Load_Balancing_Architecture_Based_on_ShardingSphere_Demo_%26_User_Case.en.md,codex_added_561,not_found,not_found,not_found,理由：トラブルシューティング，利用者向け推奨事項，実演コードであり，保守対象コードに対する永続的な規則ではない．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2023_03_07_ShardingSphere_5.3.x_Update_Spring_Configuration_Update_Guide.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2023_03_07_ShardingSphere_5.3.x_Update_Spring_Configuration_Update_Guide.en.md,codex_added_561,not_found,not_found,not_found,理由：特定バージョンへの一度限りの移行手順と利用者向け実行時設定を扱っており，永続的なコード規則ではない．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2023_03_14_ShardingSphere_Operator_Practical_Guide.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2023_03_14_ShardingSphere_Operator_Practical_Guide.en.md,codex_added_561,not_found,not_found,not_found,理由：Operatorの利用チュートリアルと実行時構成を扱っており，保守対象のソースコードやテストコードを統制する規則ではない．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__2023_07_10_A_Step-by-Step_Guide_to_Data_Migration.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/2023_07_10_A_Step-by-Step_Guide_to_Data_Migration.md,codex_added_561,not_found,not_found,not_found,理由：データ移行の手順と利用者向け設定を扱うチュートリアルであり，保守対象のソースコードやテストコードに対する永続的な規則はありません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__Jan_28_Blog_X_How_to_Develop_Your_Distributed_SQL_Statement_in_Apache_ShardingSphere.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/Jan_28_Blog_X_How_to_Develop_Your_Distributed_SQL_Statement_in_Apache_ShardingSphere.en.md,existing_166,not_found,not_found,not_found,理由：本文は一度限りの修正，移行，チュートリアル，または設計提案を示しており，コード作成・変更のたびに適用される継続的な規則ではないため．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__Jan_28_Blog_X_Kernel_Optimizations___Upgrade_Guide_for_Apache_ShardingSphere_5.0.0_The_Ideal_Database_Management_Ecosystem.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/Jan_28_Blog_X_Kernel_Optimizations_%26_Upgrade_Guide_for_Apache_ShardingSphere_5.0.0_The_Ideal_Database_Management_Ecosystem.en.md,codex_added_561,not_found,not_found,not_found,理由：製品機能の説明，利用者向け設定，および一度限りのアップグレード手順であり，保守対象コードに対する永続的な具体的規則はありません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__Jan_28_YOUR_DETAILED_GUIDE_TO_APACHE_SHARDINGSPHERE_S_OPERATING_MODES.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/Jan_28_YOUR_DETAILED_GUIDE_TO_APACHE_SHARDINGSPHERE%E2%80%99S_OPERATING_MODES.en.md,codex_added_561,not_found,not_found,not_found,理由：運用モードの選択や実行時設定を利用者向けに説明しており，ソースコードやテストコードの内容・構造を統制する規則ではありません．,
apache/shardingsphere,apache--shardingsphere/docs__blog__content__material__Oct_12_4_Updates_and_FAQ_Your_1_Minute_Quick_Start_Guide_to_ShardingSphere.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/content/material/Oct_12_4_Updates_and_FAQ_Your_1_Minute_Quick_Start_Guide_to_ShardingSphere.en.md,codex_added_561,not_found,not_found,not_found,理由：ブログの例示・利用手順と一回限りの更新説明であり，保守対象コードに対する永続的な規則ではない．,
apache/shardingsphere,apache--shardingsphere/docs__blog__themes__tale4zh__README.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/blog/themes/tale4zh/README.md,codex_added_561,not_found,not_found,not_found,理由：テーマ利用者向けのインストール・設定手順であり，保守対象のソースコードまたはテストコードを規定していない．,
apache/shardingsphere,apache--shardingsphere/docs__document__content__test-manual__performance-test__sysbench-proxy-norules-test.cn.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/document/content/test-manual/performance-test/sysbench-proxy-norules-test.cn.md,codex_added_561,not_found,not_found,not_found,理由：性能試験の環境構築・実行・測定に関する手順であり，保守対象コードの永続的な構造規則ではない．,
apache/shardingsphere,apache--shardingsphere/docs__document__content__test-manual__performance-test__sysbench-proxy-norules-test.en.md,https://github.com/apache/shardingsphere/blob/ba53784e1721b9582ed00713797c9074b69c33a6/docs/document/content/test-manual/performance-test/sysbench-proxy-norules-test.en.md,codex_added_561,not_found,not_found,not_found,理由：性能試験の環境構築・実行・測定に関する手順であり，保守対象コードの永続的な構造規則ではない．,
